awardYear,dateAwarded,prizeAmount,prizeAmountAdjusted,category.en,categoryFullName.en,winner_id,winner_link,id,given_name,family_name,full_name,gender,birth_date,birth_place_city,birth_place_country,city_now,country_now,continent
1901,1901-11-14,150782,9704878,Literature,The Nobel Prize in Literature,569,https://api.nobelprize.org/2/laureate/569,569,Sully,Prudhomme,Sully Prudhomme,male,1839-03-16,Paris,France,Paris,France,Europe
1901,1901-12-10,150782,9704878,Peace,The Nobel Peace Prize,462,https://api.nobelprize.org/2/laureate/462,462,Henry,Dunant,Jean Henry Dunant,male,1828-05-08,Geneva,Switzerland,Geneva,Switzerland,Europe
1901,1901-12-10,150782,9704878,Peace,The Nobel Peace Prize,463,https://api.nobelprize.org/2/laureate/463,463,Frédéric,Passy,Frédéric Passy,male,1822-05-20,Paris,France,Paris,France,Europe
1901,1901-11-12,150782,9704878,Physics,The Nobel Prize in Physics,1,https://api.nobelprize.org/2/laureate/1,1,Wilhelm Conrad,Röntgen,Wilhelm Conrad Röntgen,male,1845-03-27,Lennep,Prussia,Remscheid,Germany,Europe
1901,1901-10-30,150782,9704878,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,293,https://api.nobelprize.org/2/laureate/293,293,Emil,von Behring,Emil Adolf von Behring,male,1854-03-15,Hansdorf,Prussia,Lawice,Poland,Europe
1902,1902-11-11,141847,9129789,Chemistry,The Nobel Prize in Chemistry,161,https://api.nobelprize.org/2/laureate/161,161,Emil,Fischer,Hermann Emil Fischer,male,1852-10-09,Euskirchen,Prussia,Euskirchen,Germany,Europe
1902,1902-11-13,141847,9129789,Literature,The Nobel Prize in Literature,571,https://api.nobelprize.org/2/laureate/571,571,Theodor,Mommsen,Christian Matthias Theodor Mommsen,male,1817-11-30,Garding,Schleswig,Garding,Germany,Europe
1902,1902-12-10,141847,9129789,Peace,The Nobel Peace Prize,464,https://api.nobelprize.org/2/laureate/464,464,Élie,Ducommun,Élie Ducommun,male,1833-02-19,Geneva,Switzerland,Geneva,Switzerland,Europe
1902,1902-12-10,141847,9129789,Peace,The Nobel Peace Prize,465,https://api.nobelprize.org/2/laureate/465,465,Albert,Gobat,Charles Albert Gobat,male,1843-05-21,Tramelan,Switzerland,Tramelan,Switzerland,Europe
1902,1902-11-11,141847,9129789,Physics,The Nobel Prize in Physics,2,https://api.nobelprize.org/2/laureate/2,2,Hendrik A.,Lorentz,Hendrik Antoon Lorentz,male,1853-07-18,Arnhem,the Netherlands,Arnhem,the Netherlands,Europe
1902,1902-11-11,141847,9129789,Physics,The Nobel Prize in Physics,3,https://api.nobelprize.org/2/laureate/3,3,Pieter,Zeeman,Pieter Zeeman,male,1865-05-25,Zonnemaire,the Netherlands,Zonnemaire,the Netherlands,Europe
1902,1902-10-30,141847,9129789,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,294,https://api.nobelprize.org/2/laureate/294,294,Ronald,Ross,Ronald Ross,male,1857-05-13,Almora,India,Almora,India,Asia
1903,1903-11-12,141358,8830717,Chemistry,The Nobel Prize in Chemistry,162,https://api.nobelprize.org/2/laureate/162,162,Svante,Arrhenius,Svante August Arrhenius,male,1859-02-19,Vik,Sweden,Vik,Sweden,Europe
1903,1903-11-19,141358,8830717,Literature,The Nobel Prize in Literature,572,https://api.nobelprize.org/2/laureate/572,572,Bjørnstjerne,Bjørnson,Bjørnstjerne Martinus Bjørnson,male,1832-12-08,Kvikne,Norway,Kvikne,Norway,Europe
