Country Name,Country Code,Year,GDP per capita (current US$),"Population, total",awardYear,dateAwarded,prizeAmount,prizeAmountAdjusted,category.en,categoryFullName.en,winner_id,winner_link,id,given_name,family_name,full_name,gender,birth_date,birth_place_city,birth_place_country,city_now,country_now,continent
Afghanistan,AFG,1974,,11869879.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1975,,12157386.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1976,,12425267.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1977,,12687301.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1978,,12938862.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1979,,12986369.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1980,,12486631.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1981,,11155195.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1982,,10088289.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1983,,9951449.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1984,,10243686.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1985,,10512221.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1986,,10448442.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1987,,10322758.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1988,,10383460.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1989,,10673168.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1990,,10694796.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1991,,10745167.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1992,,12057433.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1993,,14003760.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1994,,15455555.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1995,,16418912.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1996,,17106595.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1997,,17788819.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1998,,18493132.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1999,,19262847.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,2000,180.188369406647,19542982.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,2001,142.903364432457,19688632.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,2002,182.174038211707,21000256.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,2003,199.643226536823,22645130.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,2004,221.830530720307,23553551.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,2005,254.115276010485,24411191.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,2006,274.01539233406,25442944.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,2007,376.318299640418,25903301.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,2008,382.533807216693,26427199.0,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,2009,453.387385142577,27385307.0,,,,,,,,,,,,,,,,,,,
